"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04517","IgSF CAM signaling","44/658","300/11194",0.146666666666667,2.49511651469098,6.55979546468439,1.50395195172614e-08,5.05327855779984e-06,2.75985333843107e-06,"17904/17756/245446/53857/107448/21872/259302/17136/26415/58235/22253/13384/239857/29857/17196/12488/26419/71740/270152/54631/19094/83964/67374/58998/73710/20779/56455/18858/331461/22151/16412/22350/17968/22142/16180/11465/245537/22145/12805/380928/56458/13822/19266/17096",44
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","41/658","299/11194",0.137123745819398,2.33277083693365,5.83748497456032,3.08782189697472e-07,5.18754078691753e-05,2.83318079446131e-05,"12928/13869/13867/12064/26415/12531/240672/60597/14281/29857/58231/17869/14164/216965/26419/16177/56808/72349/66513/18053/16478/19094/12290/19252/15370/18205/66922/193740/15481/26405/12293/53608/21809/16180/67603/13640/319520/14701/15511/11911/14256",41
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","24/658","180/11194",0.133333333333333,2.26828774062817,4.28676650577651,0.000137788827989406,0.0154323487348135,0.0084283933071268,"50723/245446/14964/17136/58235/60533/12561/270152/14972/83964/67374/58998/12560/12737/18417/16412/15015/17968/102657/15040/245537/12805/20971/19266",24
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","19/658","133/11194",0.142857142857143,2.43030829353018,4.14673802241343,0.000275440041900702,0.018880033529463,0.0103113499424155,"74551/12442/12452/26415/29857/58231/26419/26556/20528/170755/66822/19094/12575/67526/20393/21809/12795/56458/12053",19
"Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction","15/658","92/11194",0.16304347826087,2.77372142196379,4.26900861371247,0.000280952879902723,0.018880033529463,0.0103113499424155,"12386/21872/58235/71740/21415/14158/58998/20779/79264/11465/22612/216527/19878/380928/231858",15
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","30/658","273/11194",0.10989010989011,1.86946791810014,3.63456131317349,0.000687554192552397,0.0368444281812689,0.0201226227597736,"53857/12389/68198/26415/12912/29857/16440/110323/26419/67126/19094/20190/73710/193740/15481/17969/22151/102631912/14813/54405/17968/22142/66576/22145/15511/13665/13063/11911/22272/66594",30
"Metabolism","Lipid metabolism","mmu00100","Steroid biosynthesis","6/658","20/11194",0.3,5.10364741641337,4.59017265420862,0.000767592253776436,0.0368444281812689,0.0201226227597736,"13121/235293/20775/18194/66234/13595",6
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","25/658","217/11194",0.115207373271889,1.9599260431695,3.56840489910199,0.000956015501363165,0.0387131617983327,0.0211432335677274,"11303/22031/26415/14281/29857/15519/26419/66513/19094/117149/16803/20779/193740/15481/17969/15510/18035/22359/18986/19878/15511/13665/13063/11911/17096",25
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","28/658","255/11194",0.109803921568627,1.86800166875261,3.50388752530898,0.00103695969102677,0.0387131617983327,0.0211432335677274,"12928/14964/66066/210044/26415/12912/29857/17869/16440/14696/16177/14972/21355/19094/12575/20779/11512/21354/15015/20315/18035/16194/15040/14701/19878/13063/11911/213233",28
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","20/658","163/11194",0.122699386503067,2.08738135640629,3.49475359406222,0.00139638209087975,0.0469184382535597,0.0256245538350921,"11303/70839/380713/12928/26415/320091/240672/71732/11491/12912/29857/214058/17304/497097/19094/55991/228787/20393/13435/319520",20
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","13/658","87/11194",0.149425287356322,2.54204660587639,3.6083367194208,0.0016199699452766,0.0494827183284488,0.0270250380641737,"14964/12912/15519/14972/21355/193740/15481/16149/21354/15015/15040/15511/213233",13
